"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
11,"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,6,0.99,126,16.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2"
213,"Date Speed","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention",2006,1,4,0.99,104,19.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4"
15,"Alien Center","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,1,5,2.99,46,10.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12"
72,"Bill Others","A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention",2006,1,6,2.99,93,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bill':1 'challeng':16 'convent':22 'forens':12 'mad':8 'must':15 'mysql':21 'other':2 'psychologist':13 'saga':5 'scientist':9 'squirrel':18 'stun':4"
107,"Bunch Minds","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,1,4,2.99,63,13.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'bunch':1 'chef':17 'convent':21 'emot':4 'escap':14 'feminist':8,11 'mind':2 'must':13 'mysql':20 'pastri':16 'stori':5"
114,"Camelot Vacation","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,3,0.99,61,26.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'camelot':1 'charact':5 'chef':18 'convent':22 'must':14 'mysql':21 'pastri':17 'studi':6 'touch':4 'vacat':2 'waitress':12 'woman':9"
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,0.99,176,22.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16"
129,"Cause Date","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,3,2.99,179,16.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'caus':1 'chef':12 'conquer':15 'convent':21 'date':2 'explor':8 'hunter':17 'must':14 'mysql':20 'pastri':11 'tale':5 'taut':4"
137,"Charade Duffel","A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention",2006,1,3,2.99,66,21.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'build':16 'charad':1 'convent':22 'display':7 'dog':18 'duffel':2 'man':10 'must':15 'mysql':21 'pack':6 'waitress':13"
183,"Conversation Downhill","A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention",2006,1,4,4.99,112,14.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'charact':5 'convent':21 'convers':1 'downhil':2 'husband':9 'must':14 'mysql':20 'sink':15 'squirrel':17 'studi':6 'taut':4 'waitress':12"
201,"Cyclone Family","A Lacklusture Drama of a Student And a Monkey who must Sink a Womanizer in A MySQL Convention",2006,1,7,2.99,176,18.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'convent':20 'cyclon':1 'drama':5 'famili':2 'lacklustur':4 'monkey':11 'must':13 'mysql':19 'sink':14 'student':8 'woman':16"
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",2006,1,4,0.99,68,13.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12"
261,"Duffel Apocalypse","A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention",2006,1,5,0.99,171,13.99,"G","2013-05-26 14:50:58.951","{Commentaries}","'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19"
303,"Fantasy Troopers","A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention",2006,1,6,0.99,58,27.99,"PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'agent':17 'convent':21 'fantasi':1 'monkey':11 'must':13 'mysql':20 'overcom':14 'saga':5 'secret':16 'teacher':8 'touch':4 'trooper':2"
341,"Frost Head","A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention",2006,1,5,0.99,82,13.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'amaz':4 'cat':11 'convent':20 'discov':14 'frost':1 'head':2 'husband':16 'lumberjack':8 'must':13 'mysql':19 'reflect':5"
352,"Gathering Calendar","A Intrepid Tale of a Pioneer And a Moose who must Conquer a Frisbee in A MySQL Convention",2006,1,4,0.99,176,22.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'calendar':2 'conquer':14 'convent':20 'frisbe':16 'gather':1 'intrepid':4 'moos':11 'must':13 'mysql':19 'pioneer':8 'tale':5"
398,"Hanover Galaxy","A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention",2006,1,5,4.99,47,21.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'agent':12 'boy':17 'convent':21 'galaxi':2 'girl':8 'hanov':1 'must':14 'mysql':20 'reflect':5 'secret':11 'stun':4 'succumb':15"
426,"Home Pity","A Touching Panorama of a Man And a Secret Agent who must Challenge a Teacher in A MySQL Convention",2006,1,7,4.99,185,15.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'agent':12 'challeng':15 'convent':21 'home':1 'man':8 'must':14 'mysql':20 'panorama':5 'piti':2 'secret':11 'teacher':17 'touch':4"
428,"Homicide Peach","A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention",2006,1,6,2.99,141,21.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries}","'astound':4 'boy':11,16 'confront':14 'convent':20 'documentari':5 'homicid':1 'hunter':8 'must':13 'mysql':19 'peach':2"
466,"Intolerable Intentions","A Awe-Inspiring Story of a Monkey And a Pastry Chef who must Succumb a Womanizer in A MySQL Convention",2006,1,6,4.99,63,20.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'awe':5 'awe-inspir':4 'chef':14 'convent':23 'inspir':6 'intent':2 'intoler':1 'monkey':10 'must':16 'mysql':22 'pastri':13 'stori':7 'succumb':17 'woman':19"
494,"Karate Moon","A Astounding Yarn of a Womanizer And a Dog who must Reach a Waitress in A MySQL Convention",2006,1,4,0.99,120,21.99,"PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'astound':4 'convent':20 'dog':11 'karat':1 'moon':2 'must':13 'mysql':19 'reach':14 'waitress':16 'woman':8 'yarn':5"
551,"Maiden Home","A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention",2006,1,3,4.99,138,9.99,"PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'convent':21 'forens':16 'home':2 'kill':14 'lacklustur':4 'maiden':1 'moos':8 'must':13 'mysql':20 'psychologist':17 'saga':5 'teacher':11"
567,"Meet Chocolate","A Boring Documentary of a Dentist And a Butler who must Confront a Monkey in A MySQL Convention",2006,1,3,2.99,80,26.99,"G","2013-05-26 14:50:58.951","{Trailers}","'bore':4 'butler':11 'chocol':2 'confront':14 'convent':20 'dentist':8 'documentari':5 'meet':1 'monkey':16 'must':13 'mysql':19"
576,"Mighty Luck","A Astounding Epistle of a Mad Scientist And a Pioneer who must Escape a Database Administrator in A MySQL Convention",2006,1,7,2.99,122,13.99,"PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'administr':18 'astound':4 'convent':22 'databas':17 'epistl':5 'escap':15 'luck':2 'mad':8 'mighti':1 'must':14 'mysql':21 'pioneer':12 'scientist':9"
577,"Mile Mulan","A Lacklusture Epistle of a Cat And a Husband who must Confront a Boy in A MySQL Convention",2006,1,4,0.99,64,10.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'boy':16 'cat':8 'confront':14 'convent':20 'epistl':5 'husband':11 'lacklustur':4 'mile':1 'mulan':2 'must':13 'mysql':19"
608,"Murder Antitrust","A Brilliant Yarn of a Car And a Database Administrator who must Escape a Boy in A MySQL Convention",2006,1,6,2.99,166,11.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'antitrust':2 'boy':17 'brilliant':4 'car':8 'convent':21 'databas':11 'escap':15 'murder':1 'must':14 'mysql':20 'yarn':5"
716,"Reap Unfaithful","A Thrilling Epistle of a Composer And a Sumo Wrestler who must Challenge a Mad Cow in A MySQL Convention",2006,1,6,2.99,136,26.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'challeng':15 'compos':8 'convent':22 'cow':18 'epistl':5 'mad':17 'must':14 'mysql':21 'reap':1 'sumo':11 'thrill':4 'unfaith':2 'wrestler':12"
727,"Resurrection Silverado","A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention",2006,1,6,0.99,117,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'challeng':14 'convent':20 'epic':4 'explor':11 'girl':16 'must':13 'mysql':19 'resurrect':1 'robot':8 'silverado':2 'yarn':5"
733,"River Outlaw","A Thrilling Character Study of a Squirrel And a Lumberjack who must Face a Hunter in A MySQL Convention",2006,1,4,0.99,149,29.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries}","'charact':5 'convent':21 'face':15 'hunter':17 'lumberjack':12 'must':14 'mysql':20 'outlaw':2 'river':1 'squirrel':9 'studi':6 'thrill':4"
750,"Run Pacific","A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention",2006,1,3,0.99,145,25.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'cat':8 'chef':12,18 'conquer':15 'convent':22 'must':14 'mysql':21 'pacif':2 'pastri':11,17 'run':1 'tale':5 'touch':4"
773,"Seabiscuit Punk","A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention",2006,1,6,2.99,112,28.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'convent':22 'cow':18 'discov':15 'forens':11 'insight':4 'mad':17 'man':8 'must':14 'mysql':21 'psychologist':12 'punk':2 'saga':5 'seabiscuit':1"
782,"Shakespeare Saddle","A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention",2006,1,6,2.99,60,26.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'administr':14 'convent':23 'databas':13 'defeat':17 'fast':5 'fast-pac':4 'lumberjack':10 'madman':19 'must':16 'mysql':22 'pace':6 'panorama':7 'saddl':2 'shakespear':1"
804,"Sleeping Suspects","A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention",2006,1,7,4.99,129,13.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'convent':21 'explor':12 'frisbe':17 'must':14 'mysql':20 'reflect':5 'sink':15 'sleep':1 'stun':4 'sumo':8 'suspect':2 'wrestler':9"
809,"Slipper Fidelity","A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention",2006,1,5,0.99,156,14.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'agent':9 'convent':21 'explor':17 'fidel':2 'man':12 'must':14 'mysql':20 'redeem':15 'reflect':5 'secret':8 'slipper':1 'taut':4"
812,"Smoking Barbarella","A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention",2006,1,7,0.99,50,13.99,"PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'barbarella':2 'cat':18 'convent':22 'cow':9 'lacklustur':4 'mad':8,12 'must':15 'mysql':21 'saga':5 'scientist':13 'sink':16 'smoke':1"
819,"Song Hedwig","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention",2006,1,3,0.99,165,29.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'amaz':4 'confront':14 'convent':20 'documentari':5 'hedwig':2 'husband':11 'man':8 'must':13 'mysql':19 'song':1 'squirrel':16"
822,"Soup Wisdom","A Fast-Paced Display of a Robot And a Butler who must Defeat a Butler in A MySQL Convention",2006,1,6,0.99,169,12.99,"R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'butler':13,18 'convent':22 'defeat':16 'display':7 'fast':5 'fast-pac':4 'must':15 'mysql':21 'pace':6 'robot':10 'soup':1 'wisdom':2"
844,"Steers Armageddon","A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention",2006,1,6,4.99,140,16.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'armageddon':2 'car':9,17 'charact':5 'convent':21 'girl':12 'must':14 'mysql':20 'steer':1 'studi':6 'stun':4 'succumb':15"
845,"Stepmom Dream","A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention",2006,1,7,4.99,48,9.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'build':14 'convent':21 'crocodil':8 'dream':2 'epistl':5 'forens':16 'must':13 'mysql':20 'psychologist':17 'stepmom':1 'teacher':11 'touch':4"
870,"Swarm Gold","A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention",2006,1,4,0.99,123,12.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'boat':11 'conquer':14 'convent':21 'crocodil':8 'gold':2 'insight':4 'must':13 'mysql':20 'panorama':5 'sumo':16 'swarm':1 'wrestler':17"
899,"Towers Hurricane","A Fateful Display of a Monkey And a Car who must Sink a Husband in A MySQL Convention",2006,1,7,0.99,144,14.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':11 'convent':20 'display':5 'fate':4 'hurrican':2 'husband':16 'monkey':8 'must':13 'mysql':19 'sink':14 'tower':1"
907,"Translation Summer","A Touching Reflection of a Man And a Monkey who must Pursue a Womanizer in A MySQL Convention",2006,1,4,0.99,168,10.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'convent':20 'man':8 'monkey':11 'must':13 'mysql':19 'pursu':14 'reflect':5 'summer':2 'touch':4 'translat':1 'woman':16"
918,"Twisted Pirates","A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention",2006,1,4,4.99,152,23.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'boat':11 'convent':20 'display':5 'frisbe':8 'girl':16 'kill':14 'must':13 'mysql':19 'pirat':2 'touch':4 'twist':1"
933,"Vampire Whale","A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention",2006,1,4,4.99,126,11.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'confront':14 'convent':20 'epic':4 'lumberjack':8 'monkey':11 'must':13 'mysql':19 'pioneer':16 'stori':5 'vampir':1 'whale':2"
936,"Vanishing Rocky","A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention",2006,1,3,2.99,123,21.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'brilliant':4 'conquer':14 'convent':20 'man':8 'must':13 'mysql':19 'pioneer':16 'reflect':5 'rocki':2 'vanish':1 'woman':11"
937,"Varsity Trip","A Action-Packed Character Study of a Astronaut And a Explorer who must Reach a Monkey in A MySQL Convention",2006,1,7,2.99,85,14.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'action':5 'action-pack':4 'astronaut':11 'charact':7 'convent':23 'explor':14 'monkey':19 'must':16 'mysql':22 'pack':6 'reach':17 'studi':8 'trip':2 'varsiti':1"
971,"Whale Bikini","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention",2006,1,4,4.99,109,11.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':13 'bikini':2 'chef':9 'convent':22 'databas':12 'feminist':18 'intrepid':4 'kill':16 'must':15 'mysql':21 'pastri':8 'stori':5 'whale':1"
974,"Wild Apollo","A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention",2006,1,4,0.99,181,24.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'apollo':2 'beauti':4 'conquer':15 'convent':22 'monkey':8 'must':14 'mysql':21 'shark':18 'stori':5 'sumo':11 'wild':1 'wrestler':12"
980,"Wizard Coldblooded","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",2006,1,4,4.99,75,12.99,"PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'coldblood':2 'convent':21 'defeat':14 'display':5 'girl':11 'lacklustur':4 'must':13 'mysql':20 'robot':8 'sumo':16 'wizard':1 'wrestler':17"
987,"Words Hunter","A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention",2006,1,3,2.99,116,13.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'action':5 'action-pack':4 'compos':10 'convent':23 'face':17 'hunter':2 'mad':13 'must':16 'mysql':22 'pack':6 'pioneer':19 'reflect':7 'scientist':14 'word':1"
